bus,name,type,v_pu,angle_deg,pgen_mw,qgen_mvar,pload_mw,qload_mvar,ploss_mw
1,BUS-1,SLACK,1.0600,0.00,374.2,-28.4,0.0,0.0,4.8
2,BUS-2,PV,1.0430,-6.44,40.0,52.1,21.7,12.7,0.6
5,BUS-5,PV,1.0100,-15.34,0.0,42.4,94.2,19.0,0.0
8,BUS-8,PV,1.0100,-13.88,0.0,44.8,30.0,30.0,0.0
13,BUS-13,PV,1.0710,-15.88,85.0,36.4,0.0,0.0,0.0
22,BUS-22,PV,1.0350,-17.21,60.0,21.4,0.0,0.0,0.0
28,BUS-28,PQ,0.9620,-13.44,0.0,0.0,0.0,0.0,0.0
29,BUS-29,PQ,0.9620,-19.88,0.0,0.0,502.4,98.7,0.0
30,BUS-30,PQ,0.9710,-20.14,0.0,0.0,10.6,1.9,0.0
31,BUS-31,PQ,0.9480,-22.67,0.0,0.0,500.0,97.8,0.0
