bus,name,type,v_pu,angle_deg,pgen_mw,qgen_mvar,pload_mw,qload_mvar,ploss_mw
1,BUS-1,SLACK,1.0600,0.00,286.4,-16.2,0.0,0.0,3.2
2,BUS-2,PV,1.0430,-5.54,40.0,44.8,21.7,12.7,0.4
5,BUS-5,PV,1.0100,-14.88,0.0,38.4,94.2,19.0,0.0
8,BUS-8,PV,1.0100,-12.68,0.0,39.8,30.0,30.0,0.0
13,BUS-13,PV,1.0710,-14.88,85.0,32.1,0.0,0.0,0.0
22,BUS-22,PV,1.0350,-16.34,60.0,17.8,0.0,0.0,0.0
27,BUS-27,PQ,0.9640,-15.88,0.0,0.0,0.0,0.0,0.0
29,BUS-29,PQ,0.9520,-18.44,0.0,0.0,502.4,98.7,0.0
30,BUS-30,PQ,0.9770,-18.34,0.0,0.0,10.6,1.9,0.0
31,BUS-31,PQ,0.9520,-20.12,0.0,0.0,500.0,97.8,0.0
32,BUS-32,PV,1.0100,-17.54,200.0,48.4,0.0,0.0,0.0
